tag_id,tag_name,tag_description
1853,Love Hotel,"A [url=http://en.wikipedia.org/wiki/Sex_hotel]love hotel[/url] is a type of short-stay hotel found around the world operated primarily for the purpose of allowing couples privacy for sexual activities.\nThe name originates from ""Hotel Love"" in Osaka which was built in 1968 and had a rotating sign."
1854,Summer Camp,Main events of this game takes place at [url=http://en.wikipedia.org/wiki/Summer_camp]summer camp[/url].
1855,Pioneer Heroine,At least one heroine in this game is member of communist [url=http://en.wikipedia.org/wiki/Pioneer_movement]pioneer[/url] organization.
1856,Ambient Sounds,This game has significant amount of scenes where only ambient sounds are playing.\n\nDo not use this tag for games where ambient sounds are playing at the same time as music. They should be constant throughout the game and playing important role in creating game's atmosphere (example: [url=http://vndb.org/v67]Higurashi no Naku Koro ni[/url]).
1857,Penis Growth,"Th visual novel features at least one scene, in which the participant female character grows a penis, thus temporarily or permanently becoming a futanari. This could be the result of a special potion, magic, a futuristic operation, whatever.\n\nNote: Do NOT use this tags for characters, who are futanaris to begin with. Also do NOT use this tag for penis enlargement."
1859,Hidden Object Game,This visual novel features hidden object gameplay.\n\nA [url=http://en.wikipedia.org/wiki/Puzzle_video_game#Hidden_object_game]hidden object game[/url] is a genre of puzzle game in which the player must find items from a list that are hidden within a picture.
1861,Hero with Gradient Colored Hair,This game features a hero whose hair is rendered in a color gradient for stylistic purposes.
1862,Heian Period,This visual novel is set in (or at least based upon) the [url=http://en.wikipedia.org/wiki/Heian_period]Heian Period[/url].
1864,Gangster Hero,A hero character in the game is a [url=http://en.wikipedia.org/wiki/Gangster]gangster[/url].
1865,Family Feud,Plot contains a feud between two or more families.\n\nThe most famous example for this in general is probably Shakespeare's Rome and Juliet.
1866,Mercenary Hero,"At least one heros of these games is (or was) a mercenary.\n\nA mercenary is a person who takes part in an armed conflict, who is not a national or a party to the conflict, and is ""motivated to take part in the hostilities essentially by the desire for private gain and, in fact, is promised, by or on behalf of a party to the conflict, material compensation substantially in excess of that promised or paid to combatants of similar ranks and functions in the armed forces of that Party""."
1867,Desert,This visual novel has a lot of scenes set in a [url=http://en.wikipedia.org/wiki/Desert]desert[/url].
1868,Casino,This visual novel has a lot of scenes set in a [url=http://en.wikipedia.org/wiki/Casino]casino[/url].
1869,Strong Female Protagonist,"Female protagonist is not a pushover, she is strong-willed, assertive and expressive, has a distinct personality. This is particularly rare in otome games with a female protagonist; as most games tend to feature either a faceless protagonist with a blank slate personality, or a demure, weak, or doormat personality."
1871,Deredere Hero,One of the heroes is deredere - he is utterly lovestruck with the protagonist essentially from the moment he meets him or her.\n\nExpect lots of blushing at even the most innocent remarks.
1872,Female Friend,Supporting characters include one or more female friends of the protagonist.
1874,Onmyouji Hero,"A hero who works as an onmyouji, fighting or casting out demons with methods based on Buddhist and/or Taoist mythology. This usually includes the use of mudra (hand positions), prayer beads, chanting, and/or holy symbols in Sanskrit."
1875,Polite Formal Hero,A hero whose speech and mannerisms are extremely formal and polite in comparison with other characters.
1876,Cheerful Hero,A hero characterized by a cheerful and upbeat nature.
1878,Comical Hero,"A hero whose personality tends toward being comical, silly, or amusing as opposed to serious or dramatic."
1884,Arabian-Style Palace,Setting includes a palace that is Arabian or Middle Eastern in appearance.\n\nExample: http://images.uat.kuoni.co.uk/73/emirates-palace-abu-dhabi-29489031-1383828836-ImageGalleryLightbox.jpg
1887,Hero in Kimono,These games include a hero wearing a kimono or similar traditional Japanese clothing.
1888,Politician Hero,"One or more of the heroes in a visual novel tagged under this is a politician. \n\nA [URL=http://en.wikipedia.org/wiki/Politician]politician[/URL] is a person who is involved in influencing public policy and decision making. This includes people who hold decision-making positions in government, and people who seek those positions, whether by means of election, inheritance, coup d'état, appointment, electoral fraud, conquest, divine right, or other means."
1889,Character Profiles,"A visual novel with this tag contains in-game character profiles. \nCharacter profiles contain information such as a their birthday, starsign, height and weight. Sometimes, they contain additional information such as the character's history and happenings before the events of the story, or what they do in their spare time.\n\nCharacter profiles often contains spoilers, so please tag accordingly.\n\nExample 1: http://s.vndb.org/sf/76/62076.jpg\nExample 2: http://tinyurl.com/meclzef"
1890,Host Club Hero,A hero in this visual novel works at a [url=http://en.wikipedia.org/wiki/Host_club]host club[/url].
1891,Host Club Heroine,A heroine in this visual novel works at a [url=http://en.wikipedia.org/wiki/Host_club]hostess club[/url].
1892,Modern Day China,"This story is set in modern day [url=http://en.wikipedia.org/wiki/China]China[/url].\nNote: ""Modern day"" refers to an unspecified time period between the late 20th century and today."
1893,Puppeteer Heroine,One of the heroines in this game is a [url=http://en.wikipedia.org/wiki/Puppeteer]puppeteer[/url].
1894,Landlady Heroine,"One or more of this games heroines is a [url=http://en.wikipedia.org/wiki/Landlady]landlady[/url].\n\nA landlady is the owner of a house, apartment, condominium, land or real estate which is rented or leased to an individual or business, who is called a tenant (also a lessee or renter). When a juristic person is in this position, the term landlady is used."
1897,Urban Fantasy,"This game features elements and themes of [url=http://en.wikipedia.org/wiki/Urban_fantasy]urban fantasy[/url].\n\nUrban fantasy is a sub-genre of fantasy defined by place; the fantastic narrative has an urban setting. Urban fantasy exists on one side of a spectrum, opposite high fantasy, which is set in an entirely fictitious world. Many urban fantasies are set in contemporary times and contain supernatural elements. However, the stories can take place in historical, modern, or futuristic periods, and the settings may include fictional elements. The prerequisite is that they must be primarily set in a city."
1898,Panic Button,"This game includes a panic button. This allows the player to quickly hide the game with a blank screen or innocuous-looking image, in case they are interrupted during a NSFW scene."
1899,Gang,"A [url=http://en.wikipedia.org/wiki/Gang]gang[/url] plays an important part in the story.\n\nA gang is a group of recurrently associating individuals or close friends with identifiable leadership and internal organization, identifying with or claiming control over territory in a community, and engaging either individually or collectively in violent or other forms of illegal behavior.\n\nA member of a gang is called a gangster."
1900,Shinigami Protagonist,"The protagonist of this game is a [url=http://en.wikipedia.org/wiki/Shinigami]shinigami[/url].\n\nShinigami (死神, ""death god"" or ""death spirit"") is an entity in Japanese folklore that is responsible for seeing that a person dies at their appointed time and then guiding their spirit to be judged in the afterlife. In this respect, Shinigami are related to the Western concept of the Grim Reaper. Though the Grim Reaper is a single entity, there are multiple shinigami which are often imagined as working together. Shinigami are a relatively recent addition to Japanese folklore."
1901,Protagonist with Regenerative Hymen,"The protagonist has a hymen that naturally regenerates/reconstructs itself after being torn.\n\nShe can be an immortal, non-human or a person with superhuman regenerative biological attribute.\n\nDo not use this tag for protagonist who undergoes a reconstructive surgery for hymen."
1903,Protagonist with a Sprite,"Unlike many VNs, the protagonist of this VN has their own sprite."
1905,Announcer Heroine,A heroine of this game is an [url=http://en.wikipedia.org/wiki/Announcer]announcer[/url].
1907,Pirate Hero,"One or more of the heroes in this game is a pirate.\n\n[URL=http://en.wikipedia.org/wiki/Piracy]Piracy[/URL] is typically an act of robbery or criminal violence at sea. \n\nThe term can include acts committed on land, in the air, or in other major bodies of water or on a shore. It does not normally include crimes committed against persons traveling on the same vessel as the perpetrator (e.g. one passenger stealing from others on the same vessel). The term has been used throughout history to refer to raids across land borders by non-state agents."
1908,Navyman Hero,"One or more of the heroes in this game is enlisted in a naval force.\n\nA [URL=http://en.wikipedia.org/wiki/Navy]navy[/URL] (or maritime force) is a fleet of waterborne military vessels (watercraft). It is the branch of a nation's armed forces principally designated for naval and amphibious warfare; namely, lake-borne, riverine, littoral, or ocean-borne combat operations and related functions. It includes anything conducted by surface ships, amphibious ships, submarines, and seaborne aviation, as well as ancillary support, communications, training, and other fields; recent developments have included space-related operations."
1909,Transgender Heroine,"The heroine of this visual novel is [url=https://en.wikipedia.org/wiki/Transgender]transgender[/url]. The heroine's ""gender identity"" (self-identification as woman, man, neither or both) does not match her ""assigned sex"" (identification by others as male, female or intersex based on physical/genetic sex).\n\n""Transgender"" does not imply any specific form of sexual orientation; transgender people may identify as heterosexual, homosexual, bisexual, pansexual, polysexual, or asexual; some may consider conventional sexual orientation labels inadequate or inapplicable to them.\n\nShe may have already made a permanent or partial transition to the opposite sex (this could be before or during the story), thus becoming transsexual.\n\nPlease do not confuse it with futanari who have two sets of genitals, while transgender characters only have one set."
1911,Autofellatio,This visual novel features at least one scene where a futanari or male character performing a blowjob on themselves.\n\n[url=https://s2.vndb.org/sf/36/130936.jpg]NSFW Male Example[/url]\n[url=https://s2.vndb.org/sf/35/130935.jpg]NSFW Futanari Example 1[/url]\n[url=https://s2.vndb.org/sf/34/130934.jpg]NSFW Futanari Example 2[/url]\n[url=https://s2.vndb.org/sf/33/130933.jpg]NSFW Dullahan Example[/url]
1912,Chuunibyou Hero,"A hero in this game is subject of chuunibyou syndrome.\n\n[URL=http://en.dic.pixiv.net/a/Chuunibyou]Chuunibyou[/URL] or ""Middle-school 2nd Year Syndrome"", is a colloquial and rather derisive term in Japan which describes a person at the age of fourteen would either act like a know-it-all adult, or thinks they have special powers no one else has. Some would even go as far as being obnoxious, arrogant, and often look down on adults or older people. This way of thinking or acting is mostly seen in teenagers during adolescence, however there are people who still act like this even after reaching adulthood.\n\nDo not use this tag for cases where this way of thinking or acting are natural for the setting (i.e. for mahou shoujo heroine in fantasy world with actual magic powers). Only use it where this behaviour is out of place."
1913,Xonix Game,"Xonix is a video game in the style of [url=http://en.wikipedia.org/wiki/Qix]Qix[/url].\n\nPlayers can move a cursor in four directions around the screen to capture the territory. Any area comprised in a closed box the player draws is captured, but if another object hits the player's cursor (or the line being drawn) before the box is closed, the territory, and a life, are lost. The goal of the game is to capture a certain percentage of the territory on the screen. As player box off a portions of the screen, a part of the hidden picture is revealed in the claimed area, with unclaimed territory remaining an opaque blind or translucent over the full image. The full image can be viewed as a reward for beating the level."
1915,Married Hero,At least one of the heroes of this visual novel is a [url=http://en.wikipedia.org/wiki/Husband]married man[/url]. His marriage may or may not be continuing during the course of the story.
1916,Youkai Hero,"One or more heroes of this game are Youkai.\n\nYoukai range eclectically from the malevolent to the mischievous, or occasionally bring good fortune to those who encounter them. Often they possess animal features (such as the Kappa, which is similar to a turtle, or the Tengu which has wings), other times they can appear mostly human, some look like inanimate objects and others have no discernible shape. Youkai usually have a spiritual supernatural power, with shapeshifting being one of the most common. Youkai that have the ability to shapeshift are called obake."
1918,Modern Day Korea,"This game is set in modern day [url=http://en.wikipedia.org/wiki/Korea]Korea[/url].\nNote: ""Modern day"" refers to an unspecified time period between the late 20th century and today."
1919,Past Korea,These games take place in past [url=http://en.wikipedia.org/wiki/Korea]Korea[/url].
1920,Heroine's Mother as a Heroine,"A mother of one of the heroines, is a heroine in her own right. \n\nDo not use if the heroine's mother is also the protagonist's mother/stepmother as there are already appropriate tags for that."
1921,Inventor Hero,At least one of the heroes of this game is an inventor.\n\nAn [url=http://en.wikipedia.org/wiki/Inventor]inventor[/url] is a person who creates a new device or method. He may even have his own atelier to work in.
1922,Obacon,"At least 1 character in this game is an obacon.\n\nObacon is the opposite of lolicon: attraction to older women.\nIt could be grandmothers-like, mothers-like, or even older sisters-like.\nThe important point is that the obacon go after only older and/or more mature women."
1923,Friendship Ending,This game contains one or more endings that revolve around platonic [url=http://en.wikipedia.org/wiki/Friendship]friendship[/url] with one of the other characters.
1926,Chinese Heroine,At least one of the heroines is from [url=http://en.wikipedia.org/wiki/China]China[/url].
1927,NaNoRenO,"This tag indicates visual novels created for [url=http://lemmasoft.renai.us/forums/viewtopic.php?f=50&t=25451&sid=d08621f6e10902e7254668c8928ed644]NaNoRenO[/url], an event that happens annually in March in the OELVN/EVL community, where each participant creates an entire visual novel in the span of a month."
1929,Undead Hero,A hero in this game is an [url=http://en.wikipedia.org/wiki/Undead]undead[/url].
1930,LGBTQ Issues,"This game addresses themes of [url=http://en.wikipedia.org/wiki/LGBT]LGBTQ[/url] experiences and identity, such as characters questioning their sexuality or gender identity, coming out to friends and family, and dealing with prejudice."
1931,Soapy Massage,"A type of erotic massage in which one of the participants gets covered with soap and then the performer rubs his or her naked body against the partner, to clean his or her body. Originated in Japan to get around anti-prostitution laws."
1932,Only Same-Sex Sexual Content,"All sex scenes in this VN feature either only female or only male participants. This includes homosexual scenes (either Yuri, Yaoi or both) and masturbation. Note that in case of mutual masturbation, all participants must of the same sex too.\n\nSex scenes with genderless creatures, such as generic tentacle/slime monsters, are NOT acceptable (only creatures with clearly defined sex are acceptable, like monster girls in v5657 for example)."
1933,Bisexual Protagonist,"The protagonist is sexually or romantically attracted to both females and males. It is expressed by his/her behavior through the game. His/Her sexual experience on the subject is irrelevant for this tag.\n\nThis tag is for protagonists who express an interest in both women and men from the start. For protagonists initially interested in characters of the same sex only, please use the Homosexual Protagonist tag."
1935,School Sports Club Member Hero,One or more of the heroes in this game is a member of a student sports club.
1936,School Sports Club President Hero,One or more of the heroes in this game is the president of a student sports club.
1937,School Sports Club Member Protagonist,The protagonist of this game is a member of a student sports club.
1938,Brothel,Action of this game sometimes or always takes place in a [url=http://en.wikipedia.org/wiki/Brothel]brothel[/url].\n\nA brothel is a place where people may come to engage in sexual activity with a prostitute.
1941,Taishou Era,"The [url=http://en.wikipedia.org/wiki/Taish%C5%8D_period]Taishou era[/url] is a period in the history of Japan dating from July 30, 1912, to December 25, 1926, coinciding with the reign of the Emperor Taishou.\n\nPlease only use this tag, if it is explicitly stated in the visual novel, that the story takes place during the Taishou-era."
1942,Non-blood-related Brother/Brother Incest,These games contain sexual scenes between non-blood-related brothers.
1943,Unavoidable Hero Rape,"This game includes rape scenes where a hero is the victim in its main route, or a hero's route leading to his best ending (victim and the one getting the ending can be the same or not)."
1944,Only Avoidable Hero Rape,"All rape scenes involving the game's heroes in this game can be avoided - they're in bad ends (that you do not need to see to get the good ends), or can simply be avoided by taking the right choices."
1945,Feeder Fetish,"Characters in this visual novel derive pleasure from eating lots of food to gain weight, or from feeding others to cause them to gain weight.\n\nThe story and imagery focuses on the act of feeding and weight gain, not simply the presence of fat characters."
1946,Chubby Hero,A hero in this game is [url=http://en.wikipedia.org/wiki/Overweight]overweight[/url].
1947,Game Jam,"This visual novel was created as part of a game jam, such as [url=http://www.globalgamejam.org/]Global Game Jam[/url] or [url=http://www.ludumdare.com/]Ludum Dare[/url].\n\nA [url=http://en.wikipedia.org/wiki/Game_jam]game jam[/url] is a gathering of game developers for the purpose of planning, designing, and creating one or more games within a short span of time, usually ranging between 24 and 48 hours."
1948,Neon Genesis Evangelion,"This visual novel is set in the same universe as [url=http://en.wikipedia.org/wiki/Neon_Genesis_Evangelion]Neon Genesis Evangelion[/url], or feature characters from the franchise."
1950,Consensual Erotic Humiliation,"[URL=http://en.wikipedia.org/wiki/Humiliation_%28BDSM%29]Erotic humiliation[/URL] is the consensual use of psychological humiliation for the erotic excitement or sexual arousal of the person being humiliated and demeaned or of the person humiliating, or of some spectator, and may be part of BDSM and other sexual roleplay or accompanied by the sexual stimulation of one or both partners in the activity. \n\nThe humiliation need not be sexual in nature; as with many other sexual activities, it is the feelings derived from it that are sought, regardless of the nature of the actual activity. This is usually a feeling of submission for the person being humiliated, and dominance, for the person doing the humiliation. It can be verbal or physical, or in private or public."
1951,Public Masturbation,A game with this tag features at least one scene in which somebody [URL=http://vndb.org/g1087]masturbates[/URL] in public. It doesn't matter if this is carried out discreetly or openly.
1952,Shingeki no Kyojin,A visual novel with this tag features characters from [URL=http://en.wikipedia.org/wiki/Shingeki_no_Kyojin]Shingeki no Kyojin[/URL] and/or is set in its universe.
1954,Parting Ending,"This game has one or more endings where protagonist's relationships with beloved person are coming to the end.\n\nThey might be forced to part ways by their circumstances (war, social hierarchy, family moving away, etc.) or they might just realise that they no longer love each other and break up as a result.\n\nPlease do NOT use this tag for game [url=http://vndb.org/g877]Game Over[/url]s, only for actual route endings, [url=http://vndb.org/g181]True Ending[/url]s and [url=http://vndb.org/g876]Bad Endings with Story[/url]. The tag can also be used when the VN has only a [url=http://vndb.org/g146]Single Ending[/url]."
1955,Kissing Scene,These visual novels have an ENTIRE scene revolving around kissing their partner.
1956,Fruits,"Fruit is an important part of this game, or there are many scenes involving fruits."
1957,Forced Cross-dressing,"A character cross-dresses not by choice, but because he is forced to as a form of erotic humiliation."
1958,Protagonist's Niece as a Heroine,One of this game's heroines is protagonist's niece.
1959,Naga Heroine,One or more heroines of this game are [url=http://en.wikipedia.org/wiki/N%C4%81ga]nagas[/url].
1960,Puella Magi Madoka Magica,This visual novel features characters from the [url=http://en.wikipedia.org/wiki/Puella_Magi_Madoka_Magica]Puella Magi Madoka Magica[/url] franchise.
1961,Protagonist's Employee as a Heroine,At least one of the heroines in this game is the protagonist's employee. The heroine takes orders (in)directly from the protagonist.
1962,Dying Sex,"Characters have sex while one (or both) of them is dying.\n\nThis may be presented in a sad, romantic way, as lovers having their final farewell -- or it may be cruel and sadistic, with one character getting off on the other's death."
1963,Rival Hero,This game has one or more heroes that have a rivalry going on with other heroes or the protag. These heroes get many of their scenes in events related to these rivalries.
1964,Genius Hero,"One or more of the heroes in a game with this tag is considered to be a genius.\n\nA [URL=http://en.wikipedia.org/wiki/Genius]genius[/URL] is a person who displays exceptional intellectual ability, creativity, or originality, typically to a degree that is associated with the achievement of an unprecedented leap of insight.\n\nMind you, being smart is not the same thing as being a genius, and high scholastic achievement alone is not the mark of a genius."
1965,Playboy Hero,"One or more of the heroes in this story is a playboy. \n\nA ""[URL=http://en.wikipedia.org/wiki/Promiscuity#Male_promiscuity]playboy[/URL]"" refers to a man who has romantic affairs or sexual relations, or both, with women and will not marry or commit to a relationship."
1966,Flirtatious Hero,"One or more of the heroes in a game with this tag is [URL=http://en.wikipedia.org/wiki/Flirt]flirtatious[/URL]. This hero constantly flirts, be it actually suggestive or just playful banter. This is a trait typical of the ""womaniser"" archetype, but doesn't necessarily mean that the hero is promiscuous."
1967,Shouwa Era,"A visual novel with this tag is set during the Shouwa Era of Japan. \n\nThe [URL=http://en.wikipedia.org/wiki/Sh%C5%8Dwa_period]Shouwa era[/URL] is the period of Japanese history corresponding to the reign of the Shouwa Emperor, Hirohito, from December 25, 1926, through January 7, 1989."
1968,Meiji Era,"A game with this tag is set during the Meiji era of Japan.\n\nThe [URL=http://en.wikipedia.org/wiki/Meiji_period]Meiji era[/URL], is a Japanese era which extended from September 1868 through July 1912."
1969,Edo Era,"A game with this tag is set during the Edo Era of Japan.\n\nThe [URL=http://en.wikipedia.org/wiki/Edo_period]Edo era[/URL] is the period between 1603 and 1867 in the history of Japan, when Japanese society was under the rule of the Tokugawa shogunate and the country's 300 regional Daimyo."
1970,April Fool's,"This visual novel was created for [url=http://en.wikipedia.org/wiki/April_Fools'_Day]April Fool's Day[/url].\n\nApril Fool's games are generally short and humorous, often parodies of the creator's other works. Many are only available for a limited time."
1971,Heroine with Children,"A heroine in this visual novel has one or more children, whether biological or adopted. The children may or may not be characters in the game."
1972,Hero with Children,"A hero in this visual novel has one or more children, whether biological or adopted. The children may or may not be characters in the game."
1973,Muromachi Era,A game with this tag is set in Japan during the Muromachi era. \n\nThe [URL=http://en.wikipedia.org/wiki/Muromachi_period]Muromachi era[/URL] (also known as the Ashikaga era) is a division of Japanese history running from approximately 1337 to 1573.
1974,Both Male and Female Love Interests,"A visual novel where the player is able to romance at least one hero and at least one heroine.\n\nThis does not necessarily mean that the protagonist is bisexual - there could be multiple protagonists, or the protagonist could have a different sexuality depending on the player's choices.\n\nThis does not apply where the protagonist is capable of getting into friendship routes with someone of the same gender. The route must be clearly, if not necessarily explicitly, romantic."
1975,Past British Isles,A game with this tag is set in a [URL=http://en.wikipedia.org/wiki/History_of_England]past period of the British Isles[/URL].
1976,Hero Based on a Fictional Person,"One or more of the heroes in a game with this tag is based on a fictional character from a different book, anime, cartoon, comic, manga, movie, play, visual novel, etc."
1977,Heroine Based on a Fictional Person,"One or more of the heroines in a game with this tag is based on a fictional character from a different book, anime, cartoon, comic, manga, movie, play, visual novel, etc."
1978,Heroine Based on a Mythological Character,"One of more of the heroines in a game with this tag is based on a character appearing in [URL=http://en.wikipedia.org/wiki/Mythology]mythological accounts or stories[/URL]. Mythological figures are often goddesses, heroines or humans with supernatural powers."
1979,Hero Based on a Mythological Character,"One of more of the heroes in a game with this tag is based on a character appearing in [URL=http://en.wikipedia.org/wiki/Mythology]mythological accounts or stories[/URL]. Mythological figures are often gods, heroes or humans with supernatural powers."
1980,Protagonist Based on a Mythological Character,"The protagonist of a game with this tag is based on a character appearing in [URL=http://en.wikipedia.org/wiki/Mythology]mythological accounts or stories[/URL]. Mythological figures are often godly, heroic or humans with supernatural powers."
1981,Protagonist Based on a Fictional Person,"The protagonist of a game with this tag is based on a fictional character from a different book, anime, cartoon, comic, manga, movie, play, visual novel, etc."
1982,Hero With Kansai Accent,"This hero's use of a Kansai dialect, most commonly Kyoto or Osaka dialect, makes him stand out. In keeping with Japanese stereotypes about people from this region, he will usually have a brash personality to match."
1983,Shimaidon with Twins,Particular case when [url=http://vndb.org/g1690]Shimaidon[/url] relationship happens with twins.
1985,Autistic Heroine,"This visual novel features at least one heroine with [url=http://en.wikipedia.org/wiki/Autism]autism[/url].\n\nAutism is a disorder of neural development characterized by impaired social interaction, by impaired verbal and non-verbal communication, and by restricted, repetitive or stereotyped behavior. The diagnostic criteria require that symptoms become apparent before a child is three years old.\n\nNote: Please only use this tag if the heroine in question is actually diagnosed with autism. Do not use it for characters who are simply too shy to properly communicate for example."
1986,Girl x Girl Romance Only,"This game focuses on girl/girl relationships, with a female protagonist and only female heroines to pursue."
1988,Hotblooded Hero,"One or more of the heroes in a visual novel with this tag is hotblooded.\n\nA [URL=http://dictionary.reference.com/browse/hotblooded?s=t]hotblooded[/URL] person is somebody that is:\n1. Excitable; impetuous.\n2. Ardent, passionate, or virile.\n3. Adventuresome, exciting\n\nThey're also energetic and commonly, quite loud."
1989,Childishly Violent Hero,"This type of hero shows childish violent behavior through the story. He hits the protagonist and others whenever he feels frustrated, not caring if they are to blame for anything.\n\nThese attacks can get extremely violent, but since they are considered a part of the comedy they don't cause any permanent harm.\n\nThis tag is for heroes that display violent outbursts in regular life. Do not use this tag for combat related situations. Also do not use this tag when the hero's violence toward the protagonist is seriously intended to be harmful, rather than overexaggerated for the sake of comedy."
1990,Cyborg Protagonist,"The protagonist of this visual novel is a cyborg - that is, at least parts of their body are artificial but is usually controlled by a human brain."
1991,Pregnancy Bad Ending,"Pregnancy is not always positive. Depending on interpretation it can sometimes be very unpleasant or even tragic.\nMost common cases are either that the heroine was [url=http://vndb.org/g84]raped[/url] or [url=http://vndb.org/g513]netorared[/url] away from the protagonist, but there may be other reasons. The only condition is that the pregnancy itself must have a negative value for the conclusion of the story."
1992,Erotic Electrostimulation,"A visual novel with this tag contains one or more scenes in which electricity is used to achieve sexual gratification.\n\n[URL=http://en.wikipedia.org/wiki/Erotic_electrostimulation]Erotic electrostimulation[/URL] is a human sexual practice involving the application of electrical stimulation to the nerves of the body, with particular emphasis on the genitals, using a power source (such as a TENS, EMS, Violet wand, or made-for-play units) for purposes of sexual stimulation."
1993,Non-consensual Erotic Humiliation,A visual novel with this tag contains one or more scenes in which [URL=http://vndb.org/g1950]humiliation[/URL] is non-consensually used to demean the receiver and (usually sexually) gratify the person doing the humiliating.\n\nThis is a common occurrence in visual novels involving rape or revenge.
1994,Body Hair Option,The player can set characters' amount of body hair.
1995,Facial Hair Option,The player can choose whether characters have facial hair or not.
1996,Consensual Sex with Animals,"This game features consensual sex scenes involving non-human,  standard animal creatures."
1997,Veterinarian Heroine,"A heroine of this game is a practitioner of medicine purposed for animals, a veterinarian."
1998,Text Parser,"These games include a [url=http://en.wikipedia.org/wiki/Text_parser]text parser[/url] for the player to input information in order to progress the story, instead of (or in addition to) choosing options from a menu."
1999,Elf Protagonist,"The protagonist is an [url=http://en.wikipedia.org/wiki/Elves_in_fantasy_fiction_and_games]elf[/url].\n\nIn many works of modern fantasy, elves are depicted as a race of semi-divine humanoid beings who are friendly with nature and animals.\n\nA hallmark of fantasy elves is also their long and pointed ears. The length and shape of these ears varies depending on the artist or medium in question. Elves tend to be immortal or longeval in comparison to humans, more beautiful and wiser, with sharper senses and perceptions, and abilities or crafts that seem alien or magical.\n\nThis tag does not refer to the tiny, little sprite kind of elf."
2002,Boy x Boy Romance Only,"This game focuses on boy/boy relationships, with a male protagonist and only male heroes to pursue."
2003,Rape by Proxy,"Two (or more) people are forced to have sex by a third party, through threats of violence or other means of coercion.\n\nIn other words, none of the people performing a sex act have consented, but the perpetrator of the rape is not physically involved in the sex act itself."
2004,Non-Binary Characters,"At least one of the characters of this game identifies as a non-binary gender.\n\nNon-Binary Genders are gender identities that don't fit within the accepted binary of male and female. People can feel they are both, neither, or some mixture thereof.\n\nThis is regardless of their physical sex or the way they present.\n\nPlease don't use this tag for characters of unconfirmed gender. This tag is only for characters officially confirmed to be of non-binary gender."
2005,Correct Choice Indicator,"A game with this tag has some method of informing players that correct choices have been made. \n\nThis could be in the form of a sound effect, a relationship point addition graphic, etc."
2008,Marriage Ending,A visual novel with this ending contains at least one ending in which key characters get [URL=http://en.wikipedia.org/wiki/Marriage]married[/URL]. \n\nThis is likely to be the protagonist and a love interest. There does not have to be scenes of a [URL=http://en.wikipedia.org/wiki/Wedding]wedding ceremony[/URL] taking place.
2009,Dandere Hero,"A visual novel with this tag contains at least one hero who is dandere.\n\nA [URL=http://en.wikipedia.org/wiki/Dandere#D]dandere[/URL] character is one who is usually antisocial and silent, that eventually changes to display their sweet, romantic, and loving soft side."
2011,Clock Tower,"This visual novel has some scenes set in a clock tower, or a clock tower is frequently mentioned during the story."
2012,Multiple Defloration,This game features two or more girls sequentially and/or simultaneously experience defloration in a single scene.
2014,Heroine with Garter Belt,This game has at least one heroine who is commonly shown wearing a [url=http://en.wikipedia.org/wiki/Garter_belt#Garter_belts]Garter Belt[/url] in scenes featuring her.
2015,Anthropomorphized Inanimate Object,"One or more characters in this VN are personifications of inanimate objects. This includes cases of [url=http://en.wikipedia.org/wiki/Moe_anthropomorphism]moe anthropomorphism[/url], except for anthropomorphized living beings (for animals, use relevant catgirl/doggirl/etc. tags instead)."
2016,Achievements,This game contains an [url=http://en.wikipedia.org/wiki/Achievement_%28video_gaming%29l]achievements/trophies[/url] system.
2018,Fairies,"A [url=http://en.wikipedia.org/wiki/Fairy]fairy[/url] is a type of mythical being or legendary creature in European folklore, a form of spirit, often described as metaphysical, supernatural or preternatural."
2019,Modern Day Europe,"This story is set in modern day [url=http://en.wikipedia.org/wiki/Europe]Europe[/url].\nNote: ""Modern day"" refers to an unspecified time period between the late 20th century and today."
2020,Fictional Modern Day European Town,"This visual novel is set in a fictional town within contemporary Europe.\nNote: ""Modern day"" refers to an unspecified time period between the late 20th century and today."
2022,High School AU,"A [url=http://tvtropes.org/pmwiki/pmwiki.php/Main/HighSchoolAU]High School AU[/url] is an alternate universe story in which characters from an existing work are reimagined in a high school setting.\n\nThis is a common premise for [url=http://en.wikipedia.org/wiki/Alternative_universe_(fan_fiction)]alternate universe fanfiction[/url]. However, there also exist official High School AU visual novels by the same creators as the original works, such as [url=http://vndb.org/v12424]Hakuouki SSL[/url] and [url=http://vndb.org/v14690]CAGE-SCHOOL-[/url]."
2023,Sex Involving Children,"This VN features explicit sex-scenes with loli/shota characters who not only look very young, but whose age is actually confirmed to match their appearance, either directly (by explicitly stating how old they are) or indirectly (by mentioning that the character is an elementary school student or that the heroine hasn't had her period yet, for example)."
2024,Mischievous Hero,"A game with this tag has a hero who is [URL=http://dictionary.reference.com/browse/mischievous?s=t]mischievous[/URL].\n\nA mischievous person has a tendency or disposition to tease, vex, or annoy. Usually this is meant in a playful manner, but it can also be malicious as well."
